id,company,model_family,model_name,model_version,horizonte,fecha_t,close_t,y_pred,proba_up,status,fecha_t5,close_t5,ret_fwd_h5,Fecha_Datos_Usados,Observacion_Datos
1_BG_Clasico_original,BANCO GUAYAQUIL S.A.,classical,BANCO_GUAYAQUIL_SA_h5,original,h5,2026-03-20,2.3,1,0.8529590849564489,FALLO,2026-03-27,2.29,-0.0043573053689555,2026-03-27,Datos del día viernes (2026-03-27).
1_BG_Cuantico_original,BANCO GUAYAQUIL S.A.,quantum,BANCO_GUAYAQUIL_SA_h5,original,h5,2026-03-20,2.3,0,0.4412905638783074,ACIERTO,2026-03-27,2.29,-0.0043573053689555,2026-03-27,Datos del día viernes (2026-03-27).
1_CF_Clasico_original,CORPORACION FAVORITA C.A.,classical,CORPORACION_FAVORITA_CA_h5,original,h5,2026-03-20,2.0,1,0.4053851675995611,FALLO,2026-03-27,1.99,-0.0050125418235442,2026-03-27,Datos del día viernes (2026-03-27).
1_CF_Cuantico_original,CORPORACION FAVORITA C.A.,quantum,CORPORACION_FAVORITA_CA_h5,original,h5,2026-03-20,2.0,0,0.3736162740355942,ACIERTO,2026-03-27,1.99,-0.0050125418235442,2026-03-27,Datos del día viernes (2026-03-27).
2_BG_Clasico_original,BANCO GUAYAQUIL S.A.,classical,BANCO_GUAYAQUIL_SA_h5,original,h5,2026-03-27,2.29,1,0.8349486688911962,FALLO,2026-04-03,2.27,-0.0087719860728369,2026-04-01,Usando datos del día miércoles (2026-04-01) por ausencia en viernes.
2_BG_Cuantico_original,BANCO GUAYAQUIL S.A.,quantum,BANCO_GUAYAQUIL_SA_h5,original,h5,2026-03-27,2.29,0,0.4448586694635278,ACIERTO,2026-04-03,2.27,-0.0087719860728369,2026-04-01,Usando datos del día miércoles (2026-04-01) por ausencia en viernes.
2_CF_Clasico_original,CORPORACION FAVORITA C.A.,classical,CORPORACION_FAVORITA_CA_h5,original,h5,2026-03-27,1.99,1,0.4196885599110654,ACIERTO,2026-04-03,2.0,0.0050125418235441,2026-04-01,Usando datos del día miércoles (2026-04-01) por ausencia en viernes.
2_CF_Cuantico_original,CORPORACION FAVORITA C.A.,quantum,CORPORACION_FAVORITA_CA_h5,original,h5,2026-03-27,1.99,1,0.3370894361235206,ACIERTO,2026-04-03,2.0,0.0050125418235441,2026-04-01,Usando datos del día miércoles (2026-04-01) por ausencia en viernes.
3_BG_Clasico_original,BANCO GUAYAQUIL S.A.,classical,BANCO_GUAYAQUIL_SA_h5,original,h5,2026-04-03,2.27,1,0.8863141051146081,FALLO,2026-04-10,2.25,-0.0088496152769825,2026-04-10,Datos del día viernes (2026-04-10).
3_BG_Cuantico_original,BANCO GUAYAQUIL S.A.,quantum,BANCO_GUAYAQUIL_SA_h5,original,h5,2026-04-03,2.27,0,0.4755916113283847,ACIERTO,2026-04-10,2.25,-0.0088496152769825,2026-04-10,Datos del día viernes (2026-04-10).
