FECHA NEGOCIACIÓN,TÍTULO,EMISOR,NÚMERO DE ACCIONES,V. NOM. UNITARIO,PRECIO,VALOR NOMINAL,VALOR EFECTO,CASA COMPRADORA,CASA VENDEDORA,BOLSA
2019-01-02,ACCIONES,BANCO GUAYAQUIL S.A.,2000.0,1.00,0.96,2000.0,1920.0,PLUSBURSÁTIL,SANTA FE,BVG
2019-01-03,ACCIONES,BANCO GUAYAQUIL S.A.,11069.0,1.00,0.96,11069.0,10626.24,SILVERCROSS,SILVERCROSS,BVG
2019-01-03,ACCIONES,BANCO GUAYAQUIL S.A.,20035.0,1.00,0.96,20035.0,19233.6,SILVERCROSS,SILVERCROSS,BVG
2019-01-14,ACCIONES,BANCO GUAYAQUIL S.A.,1978.0,1.00,0.96,1978.0,1898.88,SANTA FE,SANTA FE,BVG
2019-01-14,ACCIONES,BANCO GUAYAQUIL S.A.,13022.0,1.00,0.95,13022.0,12370.9,SANTA FE,ORION,BVG
2019-01-14,ACCIONES,BANCO GUAYAQUIL S.A.,1731.0,1.00,0.96,1731.0,1661.76,SILVERCROSS,SILVERCROSS,BVG
2019-01-15,ACCIONES,BANCO GUAYAQUIL S.A.,327.0,1.00,0.96,327.0,313.92,SILVERCROSS,SILVERCROSS,BVG
2019-01-15,ACCIONES,BANCO GUAYAQUIL S.A.,760.0,1.00,0.96,760.0,729.6,SILVERCROSS,SILVERCROSS,BVG
2019-01-15,ACCIONES,BANCO GUAYAQUIL S.A.,1298.0,1.00,0.96,1298.0,1246.08,SILVERCROSS,SILVERCROSS,BVG
2019-01-16,ACCIONES,BANCO GUAYAQUIL S.A.,2697.0,1.00,0.94,2697.0,2535.18,SILVERCROSS,ORION,BVG
2019-01-16,ACCIONES,BANCO GUAYAQUIL S.A.,1547.0,1.00,0.94,1547.0,1454.18,SILVERCROSS,ORION,BVG
2019-01-16,ACCIONES,BANCO GUAYAQUIL S.A.,15000.0,1.00,0.96,15000.0,14400.0,SILVERCROSS,SANTA FE,BVG
2019-01-16,ACCIONES,BANCO GUAYAQUIL S.A.,10000.0,1.00,0.95,10000.0,9500.0,SILVERCROSS,ADVFIN S.A.,BVG
2019-01-16,ACCIONES,BANCO GUAYAQUIL S.A.,11000.0,1.00,0.96,11000.0,10560.0,SILVERCROSS,ORION,BVG
2019-01-16,ACCIONES,BANCO GUAYAQUIL S.A.,2697.0,1.00,0.96,2697.0,2589.12,SILVERCROSS,SILVERCROSS,BVG
