FECHA NEGOCIACIÓN;TÍTULO;EMISOR;NÚMERO DE ACCIONES;V. NOM. UNITARIO;PRECIO;VALOR NOMINAL;VALOR EFECTO;CASA COMPRADORA;CASA VENDEDORA;BOLSA
02/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;1.000.00;1.00;2.4500;1.000.00;2.450.00;MERCAPITAL;ORION;BVG
02/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;821.00;1.00;2.4400;821.00;2.003.24;PICAVAL;PICAVAL;BVG
02/01/2019;ACCIONES;SURPAPELCORP S.A.;90.00;1.00;4.2500;90.00;382.50;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
02/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;2.027.00;1.00;2.4400;2.027.00;4.945.88;SANTA FE;PICAVAL;BVG
02/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;189.00;1.00;2.4400;189.00;461.16;SILVERCROSS;PICAVAL;BVG
02/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;1.861.00;1.00;2.4400;1.861.00;4.540.84;MERCAPITAL;PICAVAL;BVG
02/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;2.000.00;1.00;0.9600;2.000.00;1.920.00;PLUSBURSÁTIL;SANTA FE;BVG
02/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;1.028.00;1.00;2.4400;1.028.00;2.508.32;ADVFIN S.A.;ACCIONES Y VALORES;BVG
02/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;684.00;1.00;2.4400;684.00;1.668.96;ADVFIN S.A.;ACCIONES Y VALORES;BVG
03/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;398.00;1.00;2.4500;398.00;975.10;SANTA FE;SANTA FE;BVG
03/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;400.00;1.00;2.4500;400.00;980.00;SANTA FE;SANTA FE;BVG
03/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;204.00;1.00;2.4600;204.00;501.84;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
03/01/2019;ACCIONES;SURPAPELCORP S.A.;70.00;1.00;4.2500;70.00;297.50;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
03/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;2.000.00;1.00;2.4400;2.000.00;4.880.00;PICAVAL;PICAVAL;BVG
03/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;115.00;1.00;2.4500;115.00;281.75;CASAREAL;SANTA FE;BVG
03/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;695.00;1.00;2.4500;695.00;1.702.75;CASAREAL;SANTA FE;BVG
03/01/2019;ACCIONES;BANCO DE LA PRODUCCION S.A PRODUBANCO;141.495.00;1.00;0.6700;141.495.00;94.801.65;METROVALORES;METROVALORES;BVG
03/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;11.069.00;1.00;0.9600;11.069.00;10.626.24;SILVERCROSS;SILVERCROSS;BVG
