empresa,horizonte,window_id,model,kernel,best_cv_f1,best_params,n_train,n_test,accuracy,directional_accuracy,precision,recall,f1
BANCO GUAYAQUIL S.A.,h1,0,baseline_majority,baseline,,,120,30,0.8666666666666667,0.8666666666666667,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,0,baseline_sign_prev,baseline,,,120,30,0.7333333333333333,0.7333333333333333,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,0,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",120,30,0.7666666666666667,0.7666666666666667,0.2,0.25,0.2222222222222222
BANCO GUAYAQUIL S.A.,h1,0,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",120,30,0.4666666666666667,0.4666666666666667,0.125,0.5,0.2
BANCO GUAYAQUIL S.A.,h1,0,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",120,30,0.6666666666666666,0.6666666666666666,0.2857142857142857,1.0,0.4444444444444444
BANCO GUAYAQUIL S.A.,h1,1,baseline_majority,baseline,,,150,30,0.7333333333333333,0.7333333333333333,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,1,baseline_sign_prev,baseline,,,150,30,0.5333333333333333,0.5333333333333333,0.125,0.125,0.125
BANCO GUAYAQUIL S.A.,h1,1,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",150,30,0.5666666666666667,0.5666666666666667,0.35294117647058826,0.75,0.48
BANCO GUAYAQUIL S.A.,h1,1,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",150,30,0.7,0.7,0.4444444444444444,0.5,0.47058823529411764
BANCO GUAYAQUIL S.A.,h1,1,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",150,30,0.6333333333333333,0.6333333333333333,0.3333333333333333,0.375,0.35294117647058826
BANCO GUAYAQUIL S.A.,h1,2,baseline_majority,baseline,,,180,30,0.8666666666666667,0.8666666666666667,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,2,baseline_sign_prev,baseline,,,180,30,0.8,0.8,0.25,0.25,0.25
BANCO GUAYAQUIL S.A.,h1,2,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",180,30,0.5666666666666667,0.5666666666666667,0.2,0.75,0.3157894736842105
BANCO GUAYAQUIL S.A.,h1,2,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",180,30,0.7333333333333333,0.7333333333333333,0.25,0.5,0.3333333333333333
BANCO GUAYAQUIL S.A.,h1,2,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",180,30,0.7,0.7,0.2222222222222222,0.5,0.3076923076923077
BANCO GUAYAQUIL S.A.,h1,3,baseline_majority,baseline,,,210,30,0.5666666666666667,0.5666666666666667,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,3,baseline_sign_prev,baseline,,,210,30,0.6,0.6,0.5384615384615384,0.5384615384615384,0.5384615384615384
BANCO GUAYAQUIL S.A.,h1,3,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",210,30,0.5,0.5,0.4166666666666667,0.38461538461538464,0.4
BANCO GUAYAQUIL S.A.,h1,3,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",210,30,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.3076923076923077,0.42105263157894735
BANCO GUAYAQUIL S.A.,h1,3,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",210,30,0.5666666666666667,0.5666666666666667,0.5,0.38461538461538464,0.43478260869565216
BANCO GUAYAQUIL S.A.,h1,4,baseline_majority,baseline,,,240,30,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,4,baseline_sign_prev,baseline,,,240,30,0.5333333333333333,0.5333333333333333,0.3,0.3,0.3
BANCO GUAYAQUIL S.A.,h1,4,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",240,30,0.6333333333333333,0.6333333333333333,0.45454545454545453,0.5,0.47619047619047616
BANCO GUAYAQUIL S.A.,h1,4,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",240,30,0.6,0.6,0.4166666666666667,0.5,0.45454545454545453
BANCO GUAYAQUIL S.A.,h1,4,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",240,30,0.5333333333333333,0.5333333333333333,0.25,0.2,0.2222222222222222
BANCO GUAYAQUIL S.A.,h1,5,baseline_majority,baseline,,,270,30,0.7333333333333333,0.7333333333333333,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,5,baseline_sign_prev,baseline,,,270,30,0.6666666666666666,0.6666666666666666,0.375,0.375,0.375
BANCO GUAYAQUIL S.A.,h1,5,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",270,30,0.5,0.5,0.3333333333333333,0.875,0.4827586206896552
BANCO GUAYAQUIL S.A.,h1,5,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",270,30,0.7333333333333333,0.7333333333333333,0.5,0.375,0.42857142857142855
BANCO GUAYAQUIL S.A.,h1,5,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",270,30,0.7333333333333333,0.7333333333333333,0.5,0.125,0.2
BANCO GUAYAQUIL S.A.,h1,6,baseline_majority,baseline,,,300,30,0.7333333333333333,0.7333333333333333,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,6,baseline_sign_prev,baseline,,,300,30,0.5666666666666667,0.5666666666666667,0.14285714285714285,0.125,0.13333333333333333
BANCO GUAYAQUIL S.A.,h1,6,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",300,30,0.5666666666666667,0.5666666666666667,0.35294117647058826,0.75,0.48
BANCO GUAYAQUIL S.A.,h1,6,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",300,30,0.7,0.7,0.4,0.25,0.3076923076923077
BANCO GUAYAQUIL S.A.,h1,6,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",300,30,0.7333333333333333,0.7333333333333333,0.5,0.125,0.2
BANCO GUAYAQUIL S.A.,h1,7,baseline_majority,baseline,,,330,30,0.5333333333333333,0.5333333333333333,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,7,baseline_sign_prev,baseline,,,330,30,0.4666666666666667,0.4666666666666667,0.42857142857142855,0.42857142857142855,0.42857142857142855
BANCO GUAYAQUIL S.A.,h1,7,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",330,30,0.5666666666666667,0.5666666666666667,0.5263157894736842,0.7142857142857143,0.6060606060606061
BANCO GUAYAQUIL S.A.,h1,7,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",330,30,0.43333333333333335,0.43333333333333335,0.4,0.42857142857142855,0.41379310344827586
BANCO GUAYAQUIL S.A.,h1,7,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",330,30,0.4666666666666667,0.4666666666666667,0.42857142857142855,0.42857142857142855,0.42857142857142855
BANCO GUAYAQUIL S.A.,h1,8,baseline_majority,baseline,,,360,30,0.7,0.7,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,8,baseline_sign_prev,baseline,,,360,30,0.43333333333333335,0.43333333333333335,0.1,0.1111111111111111,0.10526315789473684
BANCO GUAYAQUIL S.A.,h1,8,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",360,30,0.6333333333333333,0.6333333333333333,0.3333333333333333,0.2222222222222222,0.26666666666666666
BANCO GUAYAQUIL S.A.,h1,8,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",360,30,0.5333333333333333,0.5333333333333333,0.2727272727272727,0.3333333333333333,0.3
BANCO GUAYAQUIL S.A.,h1,8,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",360,30,0.6666666666666666,0.6666666666666666,0.4,0.2222222222222222,0.2857142857142857
BANCO GUAYAQUIL S.A.,h1,9,baseline_majority,baseline,,,390,30,0.7666666666666667,0.7666666666666667,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,9,baseline_sign_prev,baseline,,,390,30,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.2857142857142857
BANCO GUAYAQUIL S.A.,h1,9,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",390,30,0.7,0.7,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,9,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",390,30,0.7,0.7,0.25,0.14285714285714285,0.18181818181818182
BANCO GUAYAQUIL S.A.,h1,9,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",390,30,0.7666666666666667,0.7666666666666667,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,10,baseline_majority,baseline,,,420,30,0.8,0.8,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,10,baseline_sign_prev,baseline,,,420,30,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
BANCO GUAYAQUIL S.A.,h1,10,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",420,30,0.8,0.8,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,10,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",420,30,0.8,0.8,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,10,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",420,30,0.8,0.8,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,11,baseline_majority,baseline,,,450,30,0.7,0.7,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,11,baseline_sign_prev,baseline,,,450,30,0.5666666666666667,0.5666666666666667,0.25,0.2222222222222222,0.23529411764705882
BANCO GUAYAQUIL S.A.,h1,11,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",450,30,0.7,0.7,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,11,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",450,30,0.7,0.7,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,11,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",450,30,0.7,0.7,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,12,baseline_majority,baseline,,,480,30,0.7333333333333333,0.7333333333333333,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,12,baseline_sign_prev,baseline,,,480,30,0.5666666666666667,0.5666666666666667,0.2222222222222222,0.25,0.23529411764705882
BANCO GUAYAQUIL S.A.,h1,12,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",480,30,0.7,0.7,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,12,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",480,30,0.7666666666666667,0.7666666666666667,1.0,0.125,0.2222222222222222
BANCO GUAYAQUIL S.A.,h1,12,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",480,30,0.7333333333333333,0.7333333333333333,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,13,baseline_majority,baseline,,,510,30,0.7,0.7,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,13,baseline_sign_prev,baseline,,,510,30,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.4444444444444444
BANCO GUAYAQUIL S.A.,h1,13,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",510,30,0.6666666666666666,0.6666666666666666,0.4,0.2222222222222222,0.2857142857142857
BANCO GUAYAQUIL S.A.,h1,13,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",510,30,0.5333333333333333,0.5333333333333333,0.14285714285714285,0.1111111111111111,0.125
