FECHA NEGOCIACIÓN,TÍTULO,EMISOR,NÚMERO DE ACCIONES,V. NOM. UNITARIO,PRECIO,VALOR NOMINAL,VALOR EFECTO,CASA COMPRADORA,CASA VENDEDORA,BOLSA
2019-01-02,ACCIONES,BANCO GUAYAQUIL S.A.,2.000.00,1.00,0.96,2.000.00,1.920.00,PLUSBURSÁTIL,SANTA FE,BVG
2019-01-03,ACCIONES,BANCO GUAYAQUIL S.A.,11.069.00,1.00,0.96,11.069.00,10.626.24,SILVERCROSS,SILVERCROSS,BVG
2019-01-03,ACCIONES,BANCO GUAYAQUIL S.A.,20.035.00,1.00,0.96,20.035.00,19.233.60,SILVERCROSS,SILVERCROSS,BVG
2019-01-14,ACCIONES,BANCO GUAYAQUIL S.A.,1.978.00,1.00,0.96,1.978.00,1.898.88,SANTA FE,SANTA FE,BVG
2019-01-14,ACCIONES,BANCO GUAYAQUIL S.A.,13.022.00,1.00,0.95,13.022.00,12.370.90,SANTA FE,ORION,BVG
2019-01-14,ACCIONES,BANCO GUAYAQUIL S.A.,1.731.00,1.00,0.96,1.731.00,1.661.76,SILVERCROSS,SILVERCROSS,BVG
2019-01-15,ACCIONES,BANCO GUAYAQUIL S.A.,327.00,1.00,0.96,327.00,313.92,SILVERCROSS,SILVERCROSS,BVG
2019-01-15,ACCIONES,BANCO GUAYAQUIL S.A.,760.00,1.00,0.96,760.00,729.60,SILVERCROSS,SILVERCROSS,BVG
2019-01-15,ACCIONES,BANCO GUAYAQUIL S.A.,1.298.00,1.00,0.96,1.298.00,1.246.08,SILVERCROSS,SILVERCROSS,BVG
2019-01-16,ACCIONES,BANCO GUAYAQUIL S.A.,2.697.00,1.00,0.94,2.697.00,2.535.18,SILVERCROSS,ORION,BVG
2019-01-16,ACCIONES,BANCO GUAYAQUIL S.A.,1.547.00,1.00,0.94,1.547.00,1.454.18,SILVERCROSS,ORION,BVG
2019-01-16,ACCIONES,BANCO GUAYAQUIL S.A.,15.000.00,1.00,0.96,15.000.00,14.400.00,SILVERCROSS,SANTA FE,BVG
2019-01-16,ACCIONES,BANCO GUAYAQUIL S.A.,10.000.00,1.00,0.95,10.000.00,9.500.00,SILVERCROSS,ADVFIN S.A.,BVG
2019-01-16,ACCIONES,BANCO GUAYAQUIL S.A.,11.000.00,1.00,0.96,11.000.00,10.560.00,SILVERCROSS,ORION,BVG
2019-01-16,ACCIONES,BANCO GUAYAQUIL S.A.,2.697.00,1.00,0.96,2.697.00,2.589.12,SILVERCROSS,SILVERCROSS,BVG
2019-01-16,ACCIONES,BANCO GUAYAQUIL S.A.,1.547.00,1.00,0.96,1.547.00,1.485.12,SILVERCROSS,SILVERCROSS,BVG
2019-01-16,ACCIONES,BANCO GUAYAQUIL S.A.,31.261.00,1.00,0.96,31.261.00,30.010.56,SILVERCROSS,SILVERCROSS,BVG
2019-01-16,ACCIONES,BANCO GUAYAQUIL S.A.,5.115.00,1.00,0.97,5.115.00,4.961.55,MERCAPITAL,ORION,BVG
2019-01-18,ACCIONES,BANCO GUAYAQUIL S.A.,4.893.00,1.00,0.96,4.893.00,4.697.28,SILVERCROSS,SILVERCROSS,BVG
2019-01-18,ACCIONES,BANCO GUAYAQUIL S.A.,15.623.00,1.00,0.96,15.623.00,14.998.08,SILVERCROSS,ORION,BVG
2019-01-23,ACCIONES,BANCO GUAYAQUIL S.A.,2.021.00,1.00,0.97,2.021.00,1.960.37,MERCAPITAL,SILVERCROSS,BVG
2019-01-23,ACCIONES,BANCO GUAYAQUIL S.A.,2.000.00,1.00,0.97,2.000.00,1.940.00,PLUSBURSÁTIL,SILVERCROSS,BVG
