empresa,horizonte,window_id,fecha,model,y_true,y_pred
BANCO GUAYAQUIL S.A.,h1,0,2020-01-03,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-01-08,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-01-10,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-01-13,svc_linear,1,0
BANCO GUAYAQUIL S.A.,h1,0,2020-01-14,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-01-15,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-01-16,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-01-21,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-01-22,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-01-24,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-01-28,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-02-05,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-02-06,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-02-10,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-02-11,svc_linear,1,0
BANCO GUAYAQUIL S.A.,h1,0,2020-02-14,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-02-18,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-02-20,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-02-21,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-02-26,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-02-27,svc_linear,1,0
BANCO GUAYAQUIL S.A.,h1,0,2020-02-28,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-03-02,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-03-03,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-03-04,svc_linear,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-03-10,svc_linear,1,1
BANCO GUAYAQUIL S.A.,h1,0,2020-03-11,svc_linear,0,1
BANCO GUAYAQUIL S.A.,h1,0,2020-03-26,svc_linear,0,1
BANCO GUAYAQUIL S.A.,h1,0,2020-04-03,svc_linear,0,1
BANCO GUAYAQUIL S.A.,h1,0,2020-04-08,svc_linear,0,1
BANCO GUAYAQUIL S.A.,h1,0,2020-01-03,svc_rbf,0,1
BANCO GUAYAQUIL S.A.,h1,0,2020-01-08,svc_rbf,0,1
BANCO GUAYAQUIL S.A.,h1,0,2020-01-10,svc_rbf,0,1
BANCO GUAYAQUIL S.A.,h1,0,2020-01-13,svc_rbf,1,1
BANCO GUAYAQUIL S.A.,h1,0,2020-01-14,svc_rbf,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-01-15,svc_rbf,0,1
BANCO GUAYAQUIL S.A.,h1,0,2020-01-16,svc_rbf,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-01-21,svc_rbf,0,0
BANCO GUAYAQUIL S.A.,h1,0,2020-01-22,svc_rbf,0,0
