empresa,horizonte,model,kernel,n_windows,acc_mean,acc_std,f1_mean,f1_std,dir_acc_mean,cv_f1_mean
BANCO GUAYAQUIL S.A.,h1,baseline_majority,baseline,34,0.6627450980392157,0.10008908687735624,0.0,0.0,0.6627450980392157,
BANCO GUAYAQUIL S.A.,h1,baseline_sign_prev,baseline,34,0.5715686274509804,0.1125559652613052,0.33163011734190767,0.17622234086768337,0.5715686274509804,
BANCO GUAYAQUIL S.A.,h1,svc_linear,linear,34,0.6049019607843137,0.1095237172602513,0.3963956344777524,0.20024862989511136,0.6049019607843137,0.2936026936026936
BANCO GUAYAQUIL S.A.,h1,svc_poly,poly,34,0.6362745098039215,0.08698761359978842,0.19135074471979527,0.22253068077358357,0.6362745098039215,0.35810023310023303
BANCO GUAYAQUIL S.A.,h1,svc_rbf,rbf,34,0.5803921568627451,0.11781331093266756,0.33323387405303034,0.17834190550073417,0.5803921568627451,0.3601953601953602
BANCO GUAYAQUIL S.A.,h20,baseline_majority,baseline,33,0.48484848484848486,0.3623889589595102,0.030303030303030304,0.17407765595569785,0.48484848484848486,
BANCO GUAYAQUIL S.A.,h20,baseline_sign_prev,baseline,33,0.51010101010101,0.14251823676795827,0.35681749653497624,0.21014928442412295,0.51010101010101,
BANCO GUAYAQUIL S.A.,h20,svc_linear,linear,33,0.5545454545454546,0.3389954709032693,0.1561253423194872,0.3062817607039856,0.5545454545454546,
BANCO GUAYAQUIL S.A.,h20,svc_poly,poly,33,0.48585858585858593,0.36209558888257043,0.03581267217630854,0.17595576362773452,0.48585858585858593,
BANCO GUAYAQUIL S.A.,h20,svc_rbf,rbf,33,0.5151515151515151,0.3623889589595102,0.06060606060606061,0.24230584229877994,0.5151515151515151,
BANCO GUAYAQUIL S.A.,h5,baseline_majority,baseline,34,0.5450980392156862,0.22275930343930886,0.0,0.0,0.5450980392156862,
BANCO GUAYAQUIL S.A.,h5,baseline_sign_prev,baseline,34,0.526470588235294,0.11364171110412667,0.3495243771242211,0.17490086316114847,0.526470588235294,
BANCO GUAYAQUIL S.A.,h5,svc_linear,linear,34,0.5901960784313726,0.17533602405369134,0.4343268322129714,0.2609796750340689,0.5901960784313726,0.4039039039039039
BANCO GUAYAQUIL S.A.,h5,svc_poly,poly,34,0.5499999999999999,0.20989816353946275,0.0514667405423708,0.1784168607250416,0.5499999999999999,0.49025974025974034
BANCO GUAYAQUIL S.A.,h5,svc_rbf,rbf,34,0.5715686274509804,0.1767899994393425,0.39765065650210907,0.27283142504899605,0.5715686274509804,0.43464052287581695
CORPORACION FAVORITA C.A.,h1,baseline_majority,baseline,52,0.6846153846153846,0.09530630323453226,0.0,0.0,0.6846153846153846,
CORPORACION FAVORITA C.A.,h1,baseline_sign_prev,baseline,52,0.573076923076923,0.12100495345169063,0.29447226041411106,0.16347971643935896,0.573076923076923,
CORPORACION FAVORITA C.A.,h1,svc_linear,linear,52,0.5032051282051282,0.10991373432284836,0.3711908371591353,0.17156116373851224,0.5032051282051282,0.5229037267080745
CORPORACION FAVORITA C.A.,h1,svc_poly,poly,52,0.5301282051282051,0.1105067778330454,0.3615058711233595,0.12699243259910453,0.5301282051282051,0.4382591093117409
CORPORACION FAVORITA C.A.,h1,svc_rbf,rbf,52,0.5391025641025641,0.11617002674150578,0.3478488707021045,0.14627939874974705,0.5391025641025641,0.4047619047619047
CORPORACION FAVORITA C.A.,h20,baseline_majority,baseline,51,0.5816993464052288,0.33181746826230946,0.0,0.0,0.5816993464052288,
CORPORACION FAVORITA C.A.,h20,baseline_sign_prev,baseline,51,0.5222222222222223,0.1419963484141862,0.2619463609975093,0.2109712377392435,0.5222222222222223,
CORPORACION FAVORITA C.A.,h20,svc_linear,linear,51,0.5718954248366014,0.3167454322406495,0.2657531598111491,0.33917031405373055,0.5718954248366014,0.4053682593580725
CORPORACION FAVORITA C.A.,h20,svc_poly,poly,51,0.5647058823529412,0.21451876527146704,0.3681867865462162,0.28814191769788944,0.5647058823529412,0.3711142993782879
CORPORACION FAVORITA C.A.,h20,svc_rbf,rbf,51,0.5300653594771242,0.26685450900450397,0.4420949051481137,0.33365712529047126,0.5300653594771242,0.3107769423558897
CORPORACION FAVORITA C.A.,h5,baseline_majority,baseline,52,0.6410256410256411,0.18955461898358586,0.0,0.0,0.6410256410256411,
CORPORACION FAVORITA C.A.,h5,baseline_sign_prev,baseline,52,0.5769230769230769,0.10022598898877615,0.31517584544455335,0.18409878054919765,0.5769230769230769,
CORPORACION FAVORITA C.A.,h5,svc_linear,linear,52,0.6198717948717949,0.17330060216158888,0.18788166632385955,0.2540735187790433,0.6198717948717949,0.6116785175608704
CORPORACION FAVORITA C.A.,h5,svc_poly,poly,52,0.573076923076923,0.15649183145845896,0.358684485260321,0.24790456361594335,0.573076923076923,0.6537547419900361
CORPORACION FAVORITA C.A.,h5,svc_rbf,rbf,52,0.5756410256410256,0.16411316896352304,0.3850337311170607,0.2422799750261145,0.5756410256410256,0.6317906836055656
